ID,SCREENNAME,FOLLOWERCOUNT
355852416,dkfzhf111,38
887212087449010176,ijngnjournal2,37
2796664071,LMForensics,37
311164029,kkt_tweet,36
543394546,Mittrach_garten,35
538185924,TamerRagaee,34
466184798,abettlam,33
2359848976,joseph_deanna,33
98296019,msmelaniemills,32
1450002808229580805,claasen_llew,32
1106677911032119297,NiphadkarNeha,32
1222224279728640002,liang_xiaoqin,31
1235595204175884289,liya_lamia,31
125577272,PuneethBikks,31
1366415265458700293,EthanDsmith2,30
3439046147,kaylamarie0110,30
25758355,SirJamesBurns,30
269869476,AprilinNC,29
1425100401217576961,MathiasStefan5,29
1221796655655047169,MahsaSharifi11,28
780577332805242880,EmilyEscamilla_,28
698172818563952640,LarryWilson1942,28
888343617307148289,AirccfpIjans,27
1047393245674725376,Codify_Designs,26
3809474417,ClaytonMccallum,26
1175558436135813122,DrMarkwilliam2,26
1448199718425796612,tpdl2022,25
1220772348401307649,iesakiotis,23
952487271705530368,PramodShehan5,23
1469241337,thiriveedhisree,23
1094978973245812738,atlantianapurv,22
1301310099164737536,udithprabhu,22
997804160,AMRALZOGBY,21
1221472071299010561,EvanS17824304,21
1205644960361406464,Morteza46307480,20
3855821243,jayaikat,20
754350150357807104,HermannKroll,20
1221115389079379970,TareqSaeed20,19
1183024705663463424,l_lsharkey,19
1225516437785206784,harveenkaur121,18
1219622016522670081,brehallie2,18
936161773325078528,larryalex5555,18
245981438,Thaer_samar,18
3256198422,Puya_Ghazizadeh,18
1122452768776527875,QueenRoyca,17
1384087863248134150,Lucy04391572,17
878776601890086913,Raj78888100,17
1319251826982686720,OrodjeAme,16
962891533904068608,IRI_2019,16
173013762,doviethung,16
1363378838479261697,Bright78630075,15
3241373905,NgYewli,14
902487628578095107,graphhoc,14
1396290621644607490,DivideZero2,14
2908594483,mamaj1953,14
2434191466,hokie4kids,14
1085975614564253697,mstev0du,14
791341720470429696,penny2hutson,13
1196166843053961216,ArchitectDy,13
797693495553232896,Vendett26972328,13
1174858634066616323,FrankMo54284670,13
605081124,Chisellaw,13
846395581471838208,DamienD78,13
1328690921446273024,AcmPads,12
818102,obfern,12
1220476379206164480,IvanM08106184,12
233049998,ondranicole,12
1219667986451222535,tphasty,12
1357492233566584832,RobertMaxSlick1,12
2243119087,KristenWaltersL,11
1367257633602740227,15Jowens,11
1187739625,KhaledAusMainz,10
926744156294090752,KottakkalAnju,10
3485785534,manoj_chandra_k,10
1220049301050667008,TevinDennis3,10
742243474485956608,Mohamma47262302,9
3219466105,bigstotle,9
1033301899536228352,dimitri81228179,9
3161452212,AliShamim333,9
1200680935764746240,Jonahdickson6,9
378202816,Milbala,8
1219285474533167110,P_S_Scheuermann,8
1354184838941696008,MummertWilliam,8
846974414256324608,LunaticBugbear,8
2763613546,momof3inov,8
831213299643584512,a_abdulrahman82,8
1083178126945984513,SoadIbrahim16,8
888821797122080768,SpirosTsalikis,7
887768849503973378,mekdl59,7
41181426,karensnet,7
1442915751451500544,TariqueRukshan,6
1367260620555452423,kaypineda3,6
2865759292,raweigle1,6
1398702580591742979,abraham76262148,6
921741994577334278,WaelKholakyy,6
57642998,fileformat,6
1163731318091452416,Jie93488229,5
975404447449993216,SirigerePrakash,5
1308740938785861636,ZKavvadia,5
